L5_Enterprise,L4_Site,L3_Area,L2_Line,L1_Cell,L0_Asset,UDT_Type,PLC_OPCUA_Server,OPC_Idx,Parent_Asset
GLOBAL_DATA,IST_CENTER,POWER_PLANT,MV_INCOMING,DC_Cell_1,MV_SWITCH_01,PRESS_MACHINE,macwin,1,
GLOBAL_DATA,IST_CENTER,POWER_PLANT,MV_INCOMING,DC_Cell_1,PROT_RELAY_01,PRESS_MACHINE,macwin,2,MV_SWITCH_01
GLOBAL_DATA,IST_CENTER,UPS_ROOM_01,UPS_TRAIN_A,DC_Cell_2,UPS_MOD_A1,PRESS_MACHINE,macwin,3,MV_SWITCH_01
GLOBAL_DATA,IST_CENTER,UPS_ROOM_01,UPS_TRAIN_A,DC_Cell_2,STS_01,PRESS_MACHINE,macwin,4,PROT_RELAY_01
GLOBAL_DATA,IST_CENTER,DATA_HALL_01,ROW_01,DC_Cell_3,PDU_ROW1_A,PRESS_MACHINE,macwin,5,STS_01
GLOBAL_DATA,IST_CENTER,DATA_HALL_01,ROW_01,DC_Cell_3,CB_R1_A_01,PRESS_MACHINE,macwin,6,PDU_ROW1_A
GLOBAL_DATA,IST_CENTER,DATA_HALL_01,ROW_01,DC_Cell_3,CB_R1_A_02,PRESS_MACHINE,macwin,7,PDU_ROW1_A
GLOBAL_DATA,IST_CENTER,DATA_HALL_01,ROW_01,DC_Cell_3,CB_R1_A_03,PRESS_MACHINE,macwin,8,PDU_ROW1_A
GLOBAL_DATA,IST_CENTER,COOLING,COOL_TRAIN_A,DC_Cell_4,CHILLER_01,PRESS_MACHINE,macwin,9,
GLOBAL_DATA,IST_CENTER,COOLING,COOL_TRAIN_A,DC_Cell_4,COOL_MON_01,PRESS_MACHINE,macwin,10,
