L5_Enterprise,L4_Site,L3_Area,L2_Line,L1_Cell,L0_Asset,UDT_Type,PLC_OPCUA_Server,OPC_Idx,Parent_Asset
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,1,
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 1,PRESS_02,PRESS_MACHINE,macwin,2,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 1,PRESS_03,PRESS_MACHINE,macwin,3,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 1,PRESS_04,PRESS_MACHINE,macwin,4,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,5,
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,6,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 2,PRESS_03,PRESS_MACHINE,macwin,7,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 2,PRESS_04,PRESS_MACHINE,macwin,8,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,9,
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,10,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 3,PRESS_03,PRESS_MACHINE,macwin,11,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,12,
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 4,PRESS_02,PRESS_MACHINE,macwin,13,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 4,PRESS_03,PRESS_MACHINE,macwin,14,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,15,
Acme Global,New York,AG_Packaging,AG_Line 1,AG_Cell 5,PRESS_02,PRESS_MACHINE,macwin,16,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,17,
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 1,PRESS_02,PRESS_MACHINE,macwin,18,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,19,
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,20,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 2,PRESS_03,PRESS_MACHINE,macwin,21,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 2,PRESS_04,PRESS_MACHINE,macwin,22,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,23,
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,24,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 3,PRESS_03,PRESS_MACHINE,macwin,25,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 3,PRESS_04,PRESS_MACHINE,macwin,26,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,27,
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 4,PRESS_02,PRESS_MACHINE,macwin,28,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 4,PRESS_03,PRESS_MACHINE,macwin,29,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 4,PRESS_04,PRESS_MACHINE,macwin,30,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,31,
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 5,PRESS_02,PRESS_MACHINE,macwin,32,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 2,AG_Cell 5,PRESS_03,PRESS_MACHINE,macwin,33,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,34,
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 1,PRESS_02,PRESS_MACHINE,macwin,35,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 1,PRESS_03,PRESS_MACHINE,macwin,36,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,37,
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,38,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 2,PRESS_03,PRESS_MACHINE,macwin,39,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 2,PRESS_04,PRESS_MACHINE,macwin,40,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,41,
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,42,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,43,
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 4,PRESS_02,PRESS_MACHINE,macwin,44,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 4,PRESS_03,PRESS_MACHINE,macwin,45,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,46,
Acme Global,New York,AG_Packaging,AG_Line 3,AG_Cell 5,PRESS_02,PRESS_MACHINE,macwin,47,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,48,
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,49,
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,50,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 2,PRESS_03,PRESS_MACHINE,macwin,51,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 2,PRESS_04,PRESS_MACHINE,macwin,52,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 2,PRESS_05,PRESS_MACHINE,macwin,53,PRESS_04
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,54,
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,55,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 3,PRESS_03,PRESS_MACHINE,macwin,56,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,57,
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,58,
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 5,PRESS_02,PRESS_MACHINE,macwin,59,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 5,PRESS_03,PRESS_MACHINE,macwin,60,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 4,AG_Cell 5,PRESS_04,PRESS_MACHINE,macwin,61,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,62,
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 1,PRESS_02,PRESS_MACHINE,macwin,63,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 1,PRESS_03,PRESS_MACHINE,macwin,64,PRESS_02
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 1,PRESS_04,PRESS_MACHINE,macwin,65,PRESS_03
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 1,PRESS_05,PRESS_MACHINE,macwin,66,PRESS_04
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,67,
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,68,
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,69,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,70,
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 4,PRESS_02,PRESS_MACHINE,macwin,71,PRESS_01
Acme Global,New York,AG_Packaging,AG_Line 5,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,72,
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,73,
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 1,PRESS_02,PRESS_MACHINE,macwin,74,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 1,PRESS_03,PRESS_MACHINE,macwin,75,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 1,PRESS_04,PRESS_MACHINE,macwin,76,PRESS_03
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,77,
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,78,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,79,
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,80,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 3,PRESS_03,PRESS_MACHINE,macwin,81,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 3,PRESS_04,PRESS_MACHINE,macwin,82,PRESS_03
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,83,
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 4,PRESS_02,PRESS_MACHINE,macwin,84,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,85,
Acme Global,New York,AG_Painting,AG_Line 1,AG_Cell 5,PRESS_02,PRESS_MACHINE,macwin,86,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,87,
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 1,PRESS_02,PRESS_MACHINE,macwin,88,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,89,
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,90,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 2,PRESS_03,PRESS_MACHINE,macwin,91,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 2,PRESS_04,PRESS_MACHINE,macwin,92,PRESS_03
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,93,
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,94,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 3,PRESS_03,PRESS_MACHINE,macwin,95,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,96,
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 4,PRESS_02,PRESS_MACHINE,macwin,97,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 4,PRESS_03,PRESS_MACHINE,macwin,98,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 4,PRESS_04,PRESS_MACHINE,macwin,99,PRESS_03
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 4,PRESS_05,PRESS_MACHINE,macwin,100,PRESS_04
Acme Global,New York,AG_Painting,AG_Line 2,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,101,
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,102,
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 1,PRESS_02,PRESS_MACHINE,macwin,103,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 1,PRESS_03,PRESS_MACHINE,macwin,104,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 1,PRESS_04,PRESS_MACHINE,macwin,105,PRESS_03
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,106,
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,107,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 2,PRESS_03,PRESS_MACHINE,macwin,108,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 2,PRESS_04,PRESS_MACHINE,macwin,109,PRESS_03
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 2,PRESS_05,PRESS_MACHINE,macwin,110,PRESS_04
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,111,
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,112,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 4,PRESS_01,PRESS_MACHINE,macwin,113,
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 4,PRESS_02,PRESS_MACHINE,macwin,114,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 4,PRESS_03,PRESS_MACHINE,macwin,115,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 4,PRESS_04,PRESS_MACHINE,macwin,116,PRESS_03
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 5,PRESS_01,PRESS_MACHINE,macwin,117,
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 5,PRESS_02,PRESS_MACHINE,macwin,118,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 3,AG_Cell 5,PRESS_03,PRESS_MACHINE,macwin,119,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 4,AG_Cell 1,PRESS_01,PRESS_MACHINE,macwin,120,
Acme Global,New York,AG_Painting,AG_Line 4,AG_Cell 2,PRESS_01,PRESS_MACHINE,macwin,121,
Acme Global,New York,AG_Painting,AG_Line 4,AG_Cell 2,PRESS_02,PRESS_MACHINE,macwin,122,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 4,AG_Cell 2,PRESS_03,PRESS_MACHINE,macwin,123,PRESS_02
Acme Global,New York,AG_Painting,AG_Line 4,AG_Cell 3,PRESS_01,PRESS_MACHINE,macwin,124,
Acme Global,New York,AG_Painting,AG_Line 4,AG_Cell 3,PRESS_02,PRESS_MACHINE,macwin,125,PRESS_01
Acme Global,New York,AG_Painting,AG_Line 4,AG_Cell 3,PRESS_03,PRESS_MACHINE,macwin,126,PRESS_02
