L5_Enterprise,L4_Site,L3_Area,L2_Line,L1_Cell,L0_Asset,UDT_Type,PLC_OPCUA_Server,OPC_Idx,Parent_Asset
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,INLET_RECOVERY_A,PLC01_Physical,SCREEN_UNIT_01,WATER_PROCESS_UNIT,macwin,1,
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,INLET_RECOVERY_A,PLC01_Physical,OIL_TRAP_01,WATER_PROCESS_UNIT,macwin,2,SCREEN_UNIT_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,INLET_RECOVERY_A,PLC01_Physical,EQUALIZATION_TANK_01,WATER_PROCESS_UNIT,macwin,3,OIL_TRAP_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,INLET_RECOVERY_A,PLC01_Physical,TRANSFER_PUMP_01,WATER_PROCESS_UNIT,macwin,4,EQUALIZATION_TANK_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,INLET_RECOVERY_A,PLC01_Physical,PH_ADJUSTMENT_01,WATER_PROCESS_UNIT,macwin,5,TRANSFER_PUMP_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,INLET_RECOVERY_A,PLC01_Physical,CHEMICAL_DOSING_01,WATER_PROCESS_UNIT,macwin,6,PH_ADJUSTMENT_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,CLARIFICATION_DISCHARGE_A,PLC02_Clarifier,FLOCCULATION_TANK_01,WATER_PROCESS_UNIT,macwin,7,
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,CLARIFICATION_DISCHARGE_A,PLC02_Clarifier,PRIMARY_CLARIFIER_01,WATER_PROCESS_UNIT,macwin,8,FLOCCULATION_TANK_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,CLARIFICATION_DISCHARGE_A,PLC02_Clarifier,FINAL_SETTLING_01,WATER_PROCESS_UNIT,macwin,9,PRIMARY_CLARIFIER_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,CLARIFICATION_DISCHARGE_A,PLC02_Clarifier,DISINFECTION_UNIT_01,WATER_PROCESS_UNIT,macwin,10,FINAL_SETTLING_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,CLARIFICATION_DISCHARGE_A,PLC02_Clarifier,SLUDGE_LINE_01,WATER_PROCESS_UNIT,macwin,11,PRIMARY_CLARIFIER_01
ABS Su Aritma,ABS Demo Site,Wastewater_Treatment,CLARIFICATION_DISCHARGE_A,PLC02_Clarifier,FILTER_PRESS_01,WATER_PROCESS_UNIT,macwin,12,SLUDGE_LINE_01
