L5_Enterprise,L4_Site,L3_Area,L2_Line,L1_Cell,L0_Asset,UDT_Type,PLC_OPCUA_Server,OPC_Idx,Parent_Asset
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,1,
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 1,COLD_PRESS_01,PRESS_MACHINE,macwin,2,FEEDER_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 1,HOT_PRESS_01,PRESS_MACHINE,macwin,3,COLD_PRESS_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 1,TRIM_01,PRESS_MACHINE,macwin,4,HOT_PRESS_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 1,PACKER_01,PRESS_MACHINE,macwin,5,TRIM_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 2,CONVEYOR_01,PRESS_MACHINE,macwin,6,
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 2,LABELER_01,PRESS_MACHINE,macwin,7,CONVEYOR_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 2,SEALER_01,PRESS_MACHINE,macwin,8,LABELER_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 2,QC_STATION_01,PRESS_MACHINE,macwin,9,CONVEYOR_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 3,ROBOT_ARM_01,PRESS_MACHINE,macwin,10,
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 3,SORTER_01,PRESS_MACHINE,macwin,11,ROBOT_ARM_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 3,STACKER_01,PRESS_MACHINE,macwin,12,SORTER_01
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 3,HOT_PRESS_01,PRESS_MACHINE,macwin,13,
Acme Europe,Berlin,AE_Packaging,AE_Line 1,AE_Cell 3,DRYER_01,PRESS_MACHINE,macwin,14,HOT_PRESS_01
Acme Europe,Berlin,AE_Maintenance,AE_Line 1,AE_Cell 1,CALIBRATOR_01,PRESS_MACHINE,macwin,15,
Acme Europe,Berlin,AE_Maintenance,AE_Line 1,AE_Cell 1,MAINT_UNIT_01,PRESS_MACHINE,macwin,16,
Acme Europe,Berlin,AE_Packaging,AE_Line 2,AE_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,17,
