L5_Enterprise,L4_Site,L3_Area,L2_Line,L1_Cell,L0_Asset,UDT_Type,PLC_OPCUA_Server,OPC_Idx,Parent_Asset
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,1,
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 1,COLD_PRESS_01,PRESS_MACHINE,macwin,2,FEEDER_01
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 1,HOT_PRESS_01,PRESS_MACHINE,macwin,3,COLD_PRESS_01
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 1,TRIM_01,PRESS_MACHINE,macwin,4,HOT_PRESS_01
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 1,PACKER_01,PRESS_MACHINE,macwin,5,TRIM_01
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 2,CONVEYOR_01,PRESS_MACHINE,macwin,6,
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 2,LABELER_01,PRESS_MACHINE,macwin,7,CONVEYOR_01
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 2,LABELER_02,PRESS_MACHINE,macwin,8,CONVEYOR_01
Acme Global,Pekin,AG_Packaging,AG_Line 1,AG_Cell 2,SEALER_01,PRESS_MACHINE,macwin,9,LABELER_01
Acme Global,Pekin,AG_Packaging,AG_Line 2,AG_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,10,
Acme Global,Pekin,AG_Packaging,AG_Line 2,AG_Cell 1,COLD_PRESS_01,PRESS_MACHINE,macwin,11,FEEDER_01
Acme Global,Pekin,AG_Packaging,AG_Line 2,AG_Cell 1,TRIM_01,PRESS_MACHINE,macwin,12,COLD_PRESS_01
Acme Global,Pekin,AG_Packaging,AG_Line 2,AG_Cell 1,ROBOT_ARM_01,PRESS_MACHINE,macwin,13,
Acme Global,Pekin,AG_Packaging,AG_Line 2,AG_Cell 1,PACKER_01,PRESS_MACHINE,macwin,14,ROBOT_ARM_01
Acme Global,Pekin,AG_Packaging,AG_Line 2,AG_Cell 2,QC_STATION_01,PRESS_MACHINE,macwin,15,
Acme Global,Pekin,AG_Packaging,AG_Line 2,AG_Cell 2,MAINT_UNIT_01,PRESS_MACHINE,macwin,16,
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,17,
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,COLD_PRESS_01,PRESS_MACHINE,macwin,18,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,HOT_PRESS_01,PRESS_MACHINE,macwin,19,COLD_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,TRIM_01,PRESS_MACHINE,macwin,20,HOT_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,BUFFER_01,PRESS_MACHINE,macwin,21,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,SORTER_01,PRESS_MACHINE,macwin,22,BUFFER_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 2,LOADER_01,PRESS_MACHINE,macwin,23,
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 2,ROBOT_ARM_01,PRESS_MACHINE,macwin,24,LOADER_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 2,UNLOADER_01,PRESS_MACHINE,macwin,25,ROBOT_ARM_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,26,
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,HOT_PRESS_01,PRESS_MACHINE,macwin,27,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,HOT_PRESS_02,PRESS_MACHINE,macwin,28,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,HOT_PRESS_03,PRESS_MACHINE,macwin,29,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 2,ROBOT_ARM_01,PRESS_MACHINE,macwin,30,
Acme Global,Pekin,AG_Maintenance,AG_Line 1,AG_Cell 1,CALIBRATOR_01,PRESS_MACHINE,macwin,31,
Acme Global,Pekin,AG_Maintenance,AG_Line 1,AG_Cell 1,CALIBRATOR_02,PRESS_MACHINE,macwin,32,
Acme Global,Pekin,AG_Maintenance,AG_Line 1,AG_Cell 2,MAINT_UNIT_01,PRESS_MACHINE,macwin,33,
Acme Global,Pekin,AG_Maintenance,AG_Line 2,AG_Cell 1,INSPECTOR_01,PRESS_MACHINE,macwin,34,
Acme Global,Pekin,AG_Maintenance,AG_Line 2,AG_Cell 1,INSPECTOR_02,PRESS_MACHINE,macwin,35,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_02,PRESS_MACHINE,macwin,36,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_03,PRESS_MACHINE,macwin,37,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_04,PRESS_MACHINE,macwin,38,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_05,PRESS_MACHINE,macwin,39,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_01,PRESS_MACHINE,macwin,40,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_02,PRESS_MACHINE,macwin,41,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_03,PRESS_MACHINE,macwin,42,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_04,PRESS_MACHINE,macwin,43,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_05,PRESS_MACHINE,macwin,44,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_01,PRESS_MACHINE,macwin,45,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_02,PRESS_MACHINE,macwin,46,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_03,PRESS_MACHINE,macwin,47,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_04,PRESS_MACHINE,macwin,48,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_05,PRESS_MACHINE,macwin,49,
Acme Global,Pekin,AG_Packaging,AG_Line 3,AG_Cell 1,CONVEYOR_01,PRESS_MACHINE,macwin,50,
