L5_Enterprise,L4_Site,L3_Area,L2_Line,L1_Cell,L0_Asset,UDT_Type,PLC_OPCUA_Server,OPC_Idx,Parent_Asset
ABS Su Aritma,ABS Demo Site,Integrated_Water,PRETREATMENT,PLC01_PreTreatment,RAW_WATER_INLET_01,WATER_PROCESS_UNIT,macwin,1,
ABS Su Aritma,ABS Demo Site,Integrated_Water,PRETREATMENT,PLC01_PreTreatment,MULTIMEDIA_FILTER_01,WATER_PROCESS_UNIT,macwin,2,RAW_WATER_INLET_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,PRETREATMENT,PLC01_PreTreatment,ACTIVE_CARBON_FILTER_01,WATER_PROCESS_UNIT,macwin,3,MULTIMEDIA_FILTER_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,PRETREATMENT,PLC01_PreTreatment,SOFTENER_UNIT_01,WATER_PROCESS_UNIT,macwin,4,ACTIVE_CARBON_FILTER_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,PRETREATMENT,PLC01_PreTreatment,CHEMICAL_DOSING_01,WATER_PROCESS_UNIT,macwin,5,SOFTENER_UNIT_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,PRETREATMENT,PLC01_PreTreatment,BUFFER_TANK_01,WATER_PROCESS_UNIT,macwin,6,CHEMICAL_DOSING_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,RO_DEMIN,PLC02_Process,HP_PUMP_01,WATER_PROCESS_UNIT,macwin,7,
ABS Su Aritma,ABS Demo Site,Integrated_Water,RO_DEMIN,PLC02_Process,RO_STAGE_01,WATER_PROCESS_UNIT,macwin,8,HP_PUMP_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,RO_DEMIN,PLC02_Process,NANO_FILTRATION_01,WATER_PROCESS_UNIT,macwin,9,RO_STAGE_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,RO_DEMIN,PLC02_Process,DEMINERALIZATION_SKID_01,WATER_PROCESS_UNIT,macwin,10,NANO_FILTRATION_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,RO_DEMIN,PLC02_Process,PRODUCT_WATER_TANK_01,WATER_PROCESS_UNIT,macwin,11,DEMINERALIZATION_SKID_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,RO_DEMIN,PLC02_Process,UV_DISINFECTION_01,WATER_PROCESS_UNIT,macwin,12,PRODUCT_WATER_TANK_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,WASTEWATER_RECOVERY,PLC03_Wastewater,SCREEN_UNIT_01,WATER_PROCESS_UNIT,macwin,13,
ABS Su Aritma,ABS Demo Site,Integrated_Water,WASTEWATER_RECOVERY,PLC03_Wastewater,EQUALIZATION_TANK_01,WATER_PROCESS_UNIT,macwin,14,SCREEN_UNIT_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,WASTEWATER_RECOVERY,PLC03_Wastewater,FLOCCULATION_TANK_01,WATER_PROCESS_UNIT,macwin,15,EQUALIZATION_TANK_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,WASTEWATER_RECOVERY,PLC03_Wastewater,FINAL_SETTLING_01,WATER_PROCESS_UNIT,macwin,16,FLOCCULATION_TANK_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,WASTEWATER_RECOVERY,PLC03_Wastewater,DISINFECTION_UNIT_01,WATER_PROCESS_UNIT,macwin,17,FINAL_SETTLING_01
ABS Su Aritma,ABS Demo Site,Integrated_Water,WASTEWATER_RECOVERY,PLC03_Wastewater,SLUDGE_LINE_01,WATER_PROCESS_UNIT,macwin,18,FINAL_SETTLING_01
