L5_Enterprise,L4_Site,L3_Area,L2_Line,L1_Cell,L0_Asset,UDT_Type,PLC_OPCUA_Server,OPC_Idx,Parent_Asset
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,1,
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,COLD_PRESS_01,PRESS_MACHINE,macwin,2,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,HOT_PRESS_01,PRESS_MACHINE,macwin,3,COLD_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,TRIM_01,PRESS_MACHINE,macwin,4,HOT_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 1,STACKER_01,PRESS_MACHINE,macwin,5,TRIM_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 2,CONVEYOR_01,PRESS_MACHINE,macwin,6,
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 2,ROBOT_ARM_01,PRESS_MACHINE,macwin,7,CONVEYOR_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 2,PACKER_01,PRESS_MACHINE,macwin,8,ROBOT_ARM_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 2,QC_STATION_01,PRESS_MACHINE,macwin,9,CONVEYOR_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 3,COLD_PRESS_01,PRESS_MACHINE,macwin,10,
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 3,COLD_PRESS_02,PRESS_MACHINE,macwin,11,COLD_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 3,HOT_PRESS_01,PRESS_MACHINE,macwin,12,
Acme Global,Pekin,AG_Assembly,AG_Line 1,AG_Cell 3,TRIM_01,PRESS_MACHINE,macwin,13,HOT_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,14,
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,COLD_PRESS_01,PRESS_MACHINE,macwin,15,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,HOT_PRESS_01,PRESS_MACHINE,macwin,16,COLD_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,TRIM_01,PRESS_MACHINE,macwin,17,HOT_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 1,STACKER_01,PRESS_MACHINE,macwin,18,TRIM_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 2,CONVEYOR_01,PRESS_MACHINE,macwin,19,
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 2,ROBOT_ARM_01,PRESS_MACHINE,macwin,20,CONVEYOR_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 2,PACKER_01,PRESS_MACHINE,macwin,21,ROBOT_ARM_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 2,QC_STATION_01,PRESS_MACHINE,macwin,22,CONVEYOR_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 3,COLD_PRESS_01,PRESS_MACHINE,macwin,23,
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 3,COLD_PRESS_02,PRESS_MACHINE,macwin,24,COLD_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 3,HOT_PRESS_01,PRESS_MACHINE,macwin,25,
Acme Global,Pekin,AG_Assembly,AG_Line 2,AG_Cell 3,TRIM_01,PRESS_MACHINE,macwin,26,HOT_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 3,AG_Cell 1,FEEDER_01,PRESS_MACHINE,macwin,27,
Acme Global,Pekin,AG_Assembly,AG_Line 3,AG_Cell 1,COLD_PRESS_01,PRESS_MACHINE,macwin,28,FEEDER_01
Acme Global,Pekin,AG_Assembly,AG_Line 3,AG_Cell 1,HOT_PRESS_01,PRESS_MACHINE,macwin,29,COLD_PRESS_01
Acme Global,Pekin,AG_Assembly,AG_Line 3,AG_Cell 1,TRIM_01,PRESS_MACHINE,macwin,30,HOT_PRESS_01
